ASPN	MI	27999	8.42	2.271	5.158	10.2	2.688	7.225
BEST	IN	7237	7.514	1.202	1.445	8.556	1.304	1.7
BEST	UT	2651	10.137	0.378	0.143	11.149	0.446	0.199
DATM	MI	1344116	6.963	1.777	3.158	8.277	2.244	5.036
ERTH	NM	6675	5.023	0.412	0.17	5.032	0.554	0.307
FGMS	AK	73	13.849	2.865	8.21	16.562	3.641	13.26
FGMS	OR	659	9.252	1.568	2.459	10.677	1.82	3.311
FGMS	RI	155	8.819	1.461	2.135	10.077	1.592	2.536
FGMS	WA	1251	9.389	1.859	3.458	10.893	2.251	5.066
FGMS	WV	201	7.06	2.668	7.121	8.234	3.112	9.682
FISV	LA	2486	4.681	1.389	1.928	6.754	1.697	2.88
GABG	MI	7925	8.103	1.426	2.032	9.111	1.518	2.304
GRPO	MI	10634	7.458	2.997	8.985	8.849	3.482	12.122
JMSI	AZ	73589	8.838	1.88	3.535	10.059	2.236	4.999
JMSI	NV	56677	9.064	2.074	4.302	10.529	2.514	6.32
QUAD	OH	2	8.5	2.5	6.25	10.0	3.0	9.0
QUAD	VA	1	5.0	0.0	0.0	6.0	0.0	0.0
VENT	IN	180	7.994	1.103	1.217	9.433	1.571	2.468
VENT	UT	7	10.429	1.294	1.673	12.143	1.726	2.98
ASPN	OK	10449	9.512	2.119	4.49	11.547	2.36	5.569
ASPN	TX	83088	9.085	2.444	5.972	11.046	2.849	8.116
BEST	AK	796	19.372	0.483	0.234	22.372	0.483	0.234
BEST	OR	3973	8.709	1.205	1.452	9.732	1.342	1.802
BEST	RI	1566	7.011	0.268	0.072	8.011	0.29	0.084
BEST	WA	12642	8.521	1.577	2.487	9.579	1.803	3.251
BEST	WV	618	6.968	0.927	0.86	7.972	0.973	0.946
BINK	MI	32445	9.664	2.622	6.877	11.523	3.188	10.165
DATM	OK	218751	8.495	1.784	3.181	10.437	2.2	4.842
DATM	PA	96053	6.708	1.86	3.461	7.992	2.315	5.359
DATM	TX	2313028	8.476	1.512	2.285	10.576	1.89	3.571
ERTH	AR	4617	6.446	0.882	0.778	7.498	1.056	1.115
